"אבטליון","Avtalyon","","","","","","","32.836468","35.3493734"
"אביאל","Avi'el","","","","","","","32.53195065","34.9884930440394"
"אביבים","Avivim","","","","","","","33.08908275","35.4723813013821"
"אביגדור","Avigdor","","","","","","","31.710902","34.7426871"
"אביחיל","Avihayil","","","","","","","32.3502322","34.8717347"
"אביטל","Avital","","","","","","","32.5574793","35.3069385928717"
"אביעזר","Avi'ezer","","","","","","","31.68179055","35.0175056490604"
"אבירים","Abbirim","","","","","","","33.03847265","35.2870620631363"
"אבן יהודה","Even Yehuda","","","","","","","32.271564","34.888255"
"אבן מנחם","Even Menahem","","","","","","","33.07426435","35.2930165098977"
"אבן ספיר","Even Sapir","","","","","","","31.7629815","35.1351189"
"אבן שמואל","Even Shemuel","","","","","","","31.5754405","34.7636933035452"
"אבני איתן","Avne Etan","Avne Eitan","","","","","","32.8222205","35.7685664"
"אבני חפץ","Avne Hefets","Avne Hefetz","","","","","","32.2847457","35.0735508"
"אבנת","Avnat","","","","","","","31.67743725","35.4360378783175"
"אבשלום","Avshalom","","","","","","","31.1939198","34.3337877"
"אדורה","Adora","","","","","","","31.55177175","35.0164931749692"
"אדירים","Addirim","Adirim","","","","","","32.54918735","35.271301225297"
"אודם","Odem","","","","","","","33.19348215","35.7492788834817"
"אדמית","Adamit","","","","","","","33.0793642","35.2110541"
"אדרת","Adderet","Aderet","","","","","","31.6597433","34.9956875"
"אוהד","Ohad","","","","","","","31.237045","34.4323077467218"
"אוהלו","Ohalo","","","","","","",,
"אודים","Udim","","","","","","","32.26531695","34.8454806183319"
"אור הגנוז","Or Haganuz","","","","","","","33.0049421","35.4472568"
"אור הנר","Or Haner","","","","","","","31.55710305","34.6024015718017"
"אור יהודה","Or Yehuda","","","","","","","32.0290859","34.8623236961214"
"אור עקיבא","Or Akiva","","","","","","","32.5090151","34.9195677"
"אורה","Ora","","","","","","","31.7523331","35.151021"
"אורות","Orot","","","","","","","31.7421678","34.7344806"
"אורטל","Ortal","","","","","","","33.0835879","35.7623213"
"אורים","Urim","","","","","","","31.3033383","34.52155"
"אורנית","Oranit","","","","","","","32.13056685","34.9949339187737"
"אושה","Usha","","","","","","","32.7955189","35.1144019"
"אזור","Azor","","","","","","","32.0282087","34.802593"
"אחווה","Ahava","","","","","","",,
"אחוזם","Ahuzzam","Ahuzam","Achuzam","","","","","31.5525502","34.7701042"
"אחוזת ברק","Ahuzzat Barak","Ahuzat Barak","Achuzat Barak","","","","","32.6418437","35.3387534"
"אחוזת שושנה","Ahuzzat Shoshana","Ahuzat Shoshana","Achuzat Shoshana","","","","",,
"אחיהוד","Ahihud","Achihud","","","","","","32.9073284","35.1737446225213"
"אחיטוב","Ahituv","Achituv","","","","","","32.387855","34.9901935058208"
"אחיסמך","Ahisamakh","Achisamach","","","","","","31.93624215","34.9097381576387"
"אחיעזר","Ahi'ezer","Achiezer","","","","","","31.9811076","34.8716734"
"אייל","Eyal","","","","","","","32.210607","34.9781079"
"אילון","Elon","","","","","","","33.0631715","35.2196198"
"אילות","Elot","","","","","","","29.5812885","34.9618701662842"
"אילנייה","Ilaniyya","Ilaniya","","","","","",,
"אילת","Elat","Eilat","","","","","","29.5569348","34.9497949"
"איילת השחר","Ayyelet Hashahar","Ayelet Hashahar","Ayelet Hashachar","","","","","33.0215976","35.5759521"
"איתמר","Itamar","","","","","","","32.1732971","35.3080024614896"
"איתן","Etan","Eitan","","","","","","31.5721703","34.7478187231846"
"איתנים","Etanim","Eitanim","","","","","","31.7795349","35.0943225"
"אל-רום","Al Rom","","","","","","","33.1794392","35.7714167927275"
"אלון הגליל","Allon Hagalil","Alon Hagalil","","","","","","32.75735165","35.2211482649781"
"אלון מורה","Allon More","Alon More","","","","","","32.2355816","35.3317235522367"
"אלון שבות","Allon Shevut","Alon Shevut","Alon Shvut","","","","","31.65423355","35.1266904747966"
"אלוני אבא","Allone Abba","Alone Aba","Alonei Aba","","","","","32.72936575","35.1708693499256"
"אלוני הבשן","Allone Habashan","Alone Habashan","Alonei Habashan","","","","","33.04362895","35.8382973015849"
"אלוני יצחק","Allone Yits'hak","Alone Yitzhak","Alonei Yitzhak","","","","","32.5102785","35.0038927"
"אלונים","Allonim","Alonim","","","","","","32.7199093","35.1446939"
"אלי עד","Eli-Ad","","","","","","","32.8060623","35.7337191"
"אליכין","Elyakhin","Elyachin","","","","","","32.4079533","34.9248732"
"אליפז","Elifaz","","","","","","","29.7971821","35.0122727"
"אליפלט","Elifelet","","","","","","","32.94819885","35.5477575691914"
"אליקים","Elyakim","","","","","","","32.6317686","35.0675605814075"
"אלישיב","Elyashiv","","","","","","","32.3802538","34.9092219"
"אלישמע","Elishama","","","","","","","32.1519602","34.9279083"
"אלישע","Elisha","","","","","","",,
"אלמגור","Almagor","","","","","","","32.91270315","35.6020150582805"
"אלומה","Alumma","Aluma","","","","","","31.6527704","34.7440746"
"אלמוג","Almog","","","","","","","31.78804385","35.4615768228445"
"אלומות","Alummot","Alumot","","","","","","32.7068587","35.5464471508154"
"אלעד","El'ad","","","","","","","32.0516147","34.9563215959885"
"אלעזר","El'azar","","","","","","","31.65987235","35.1430344514124"
"אלפי מנשה","Alfe Menashe","Alfei Menashe","","","","","","32.173404","35.0154236"
"אלקוש","Elkosh","","","","","","","33.0341637","35.3241745"
"אלקנה","Elkana","","","","","","","32.1115274","35.0352848"
"אמונים","Emunim","","","","","","","31.74406575","34.6757849709016"
"אמירים","Amirim","","","","","","","32.9374964","35.4499982"
"אומן","Omen","","","","","","","32.5633022","35.2423509980953"
"אמנון","Amnun","","","","","","","32.9043478","35.5705088"
"אומץ","Omets","Ometz","","","","","","32.37142535","34.9965556532646"
"אמציה","Amatsya","Amatzia","","","","","","31.53215625","34.9144042984249"
"אניעם","Ani’am","","","","","","","32.95761585","35.7409051065318"
"אספר","Asfar","","","","","","",,
"אפיק","Afik","","","","","","","32.7800427","35.7013136171427"
"אפיקים","Afikim","","","","","","","32.6786105","35.5769374"
"אפעל","Efal","","","","","","",,
"אפק","Afek","","","","","","","32.8401655","35.1278912"
"אופקים","Ofakim","","","","","","","31.3125831","34.6208537"
"אפרתה","Efrata","","","","","","",,
"ארבל","Arbel","","","","","","","32.8130134","35.4847452"
"ארגמן","Argaman","","","","","","","32.1730172","35.5236240760223"
"ארז","Erez","","","","","","","31.5605003","34.5666313"
"אריאל","Ari'el","","","","","","","32.1061476","35.1852079"
"אורנים","Oranim","","","","","","","32.71210985","35.1089506500163"
"ארסוף","Arsuf","","","","","","","32.2137579","34.8166952620295"
"אשבול","Eshbol","","","","","","","31.44674525","34.6681306212914"
"אשבל","Eshbal","","","","","","","32.8759108","35.3067753"
"אשדוד","Ashdod","","","","","","","31.7977307","34.652994"
"אשדות יעקב (איחוד)","Ashdot Ya'akov (Ihud)","","","","","","","32.6581629","35.5811432"
"אשדות יעקב (מאוחד)","Ashdot Ya'akov (Me'uhad)","","","","","","","32.6633595","35.5827871958298"
"אשר","Eshhar","Eshchar","","","","","","13.366667","44.416667"
"אשכולות","Eshkolot","","","","","","","31.3910701","34.9047225"
"אשל הנשיא","Eshel Hanasi","","","","","","","31.3254053","34.6982913097432"
"אשלים","Ashalim","","","","","","","30.9639276","34.7013301935003"
"אשקלון","Ashkelon","Askalon","","","","","","31.6647136","34.5713902"
"אשרת","Asherat","","","","","","","32.97203955","35.1551193074697"
"אשתאול","Eshta'ol","","","","","","","31.78082155","35.0095755743845"
"באר אורה","Be'er Ora","","","","","","","29.7105978","34.9853933990868"
"באר טוביה","Be'er Toviyya","Be'er Toviya","Be'er Tuviya","Be'er Tuvia","","","","31.7330691","34.7245572739764"
"באר יעקב","Be'er Ya'akov","","","","","","","31.9443204","34.8400196"
"באר מלכה","Be'er Milka","","","","באר מילכה","","",,
"באר שבע","Beersheba","Be'er Shava","Be'er Sheva","Be'er Sheba","","","","31.2525467","34.7906914"
"בארות יצחק","Be'erot Yit'shak","Be'erot Yitzhak","","","","","","32.0390303","34.9105123"
"בארותיים","Be'erotayim","","","","","","","32.3218886","34.9828907"
"בארי","Be'eri","","","","","","","31.4241619","34.4911159"
"בורגתה","Burgeta","","","","","","","32.3264724","34.962915"
"בחן","Bahan","","","","","","","32.3506037","35.0178487"
"בטחה","Bitha","","","","","","",,
"בירייה","Biriyya","Birya","Biriya","","ביריה","","",,
"בית אל","Bet El","Beit El","Beth El","","","","","31.9414602","35.2209482"
"אבית אלעזרי","Bet El'azari","Beit El'azari","","","","","",,
"בית אלפא","Bet Alfa","Beit Alfa","","","","","","32.5166875","35.4275059"
"בית אריה","Bet Arye","Beit Arye","","","","","","32.03769335","35.0498072047885"
"בין אורן","Bet Oren","Beit Oren","","","","","",,
"בית ברל","Bet Berl","Beit Berl","","","","","",,
"בית גוברין","Bet Guvrin","Beit Guvrin","","","","","","31.6113672","34.8953605"
"בית גמליאל","Bet Gamli'el","Beit Gamli'el","","","","","","31.85733515","34.7615854622737"
"בית דגן","Bet Dagan","Beit Dagan","","","","","","32.0002552","34.8310177"
"בית הגדי","Bet Hagaddi","Beit Hagaddi","Beit HaGadi","","","","","31.42146945","34.6081644227551"
"בית הלוי","Bet Halevi","Beit Halevi","","","","","","32.3520416","34.9295061"
"בית הילל","Bet Hillel","Beit Hillel","","","","","",,
"בית העמק","Bet Ha'emek","Beit Ha'emek","","","","","","32.9708203","35.1448595866536"
"בית הערבה","Bet Ha'Arava","Beit Ha'Arava","","","","","","31.8024666","35.4749246"
"בית השיטה","Bet Hashitta","Beit Hashitta","Beit Hashita","","בית השטה","","","32.55078435","35.4387098847224"
"בית זיד","Bet Zeid","Beit Zeid","Beit Zaid","","בית זייד","","","15.52911","43.924103"
"בית זית ","Bet Zayit","Beit Zayit","","","","","","31.7825806","35.1593248"
"בית זרע","Bet Zera","Beit Zera","","","","","","32.6892534","35.5739673724461"
"בית חורון","Bet Horon","Beit Horon","","","","","","31.8764457","35.1287086279512"
"בית חלקיה","Bet Hilkiyya","Beit Hilkiyya","Beit Hilkia","","","","","31.7934972","34.8111892505472"
"בית חנן","Bet Hanan","Beit Hanan","","","","","","31.9344278","34.7745580231416"
"בית חנניה","Bet Hananya","Beit Hananya","","","","","","32.5288503","34.926492"
"בית חירות","Bet Herut","Beit Herut","","","בית חרות","","",,
"בית חשמונאי","Bet Hashmonai","Beit Hashmonai","","","","","","31.8890372","34.9158388145023"
"בית יהושוע ","Bet Yehoshu'a","Beit Yehoshu'a","","","בית יהושע","","",,
"בית יוסף","Bet Yosef","Beit Yosef","Beit Yossef","","","","","32.5602034","35.5529417661558"
"בית ינאי","Bet Yannai","Beit Yannai","","","","","","32.3792396","34.863234"
"בית יצחק - שער חפר","Bet Yits'hak - Sha'ar Hefer","Beit Yits'hak - Sha'ar Hefer","","","","","","32.3345648","34.8905446"
"בית לחם הגלילית","Bet Lehem Hagelilit","Beit Lehem Hagelilit","Beit Lechem Hagelilit","","","","","32.7346392","35.1890255"
"בית מאיר","Bet Me'ir","Beit Me'ir","","","","","","31.7938486","35.0356995"
"בית נחמיה","Bet Nehemya","Beit Nehemya","Beit Nechemya","","","","","31.9763973","34.9545418"
"בית ניר","Bet Nir","Beit Nir","","","","","","31.6472934","34.874131"
"בית נקופה","Bet Nekofa","Beit Nekofa","","","","","","31.8028567","35.1252694"
"בית עובד","Bet Oved","Beit Oved","","","","","","31.9220477","34.7743859223907"
" בית עוזיאל","Bet Uzi'el","Beit Uzi'el","","","","","","31.87106165","34.9047724542531"
"בית עזרא","Bet Ezra","Beit Ezra","","","","","","31.7350266","34.6564745"
"בית עריף","Bet Arif","Beit Arif","","","","","","31.996389","34.935"
"בית צבי","Bet Tsevi","Beit Tsevi","Beit Zvi","Beit Tsvi","","","",,
"בית קמה","Bet Kama","Beit Kama","","","","","","31.44761325","34.7612862127073"
"בית קשת","Bet Keshet","Beit Keshet","","","","","","32.7184192","35.3954738"
"בית רבן","Bet Rabban","Beit Rabban","Beit Raban","","","","","31.8160135","34.7267503"
"בית רימון","Bet Rimmon","Beit Rimmon","Beit Rimon","","בית רמון","","","32.7815144","35.3275501183919"
"בית שאן","Bet She'an","Beit She'an","","","","","","32.4967519","35.4973022"
"בית שמש","Bet Shemesh","Beit Shemesh","","","","","","31.7325308","34.9906658076147"
"בית שערים","Bet She'arim","Beit She'arim","","","","","","32.69783125","35.1784853220534"
"בית שקמה","Bet Shikma","Beit Shikma","","","","","",,
"ביתן אהרן","Bitan Aharon","","","","","","",,
"ביתר עילית","Betar Illit","Betar Ilit","","","ביתר עלית","","","31.6949458","35.1180191"
"בלפורייה","Balfuriyya","Balfuriya","","","בלפוריה","","","32.6312894","35.296743"
"בן זכאי","Ben Zakkai","Ben Zakai","","","","","","31.85579895","34.7268475618722"
"בן עמי","Ben Ammi","Ben Ami","","","","","","33.00694605","35.1256208722175"
"בן שמן (כפר נוער)","Ben Shemen (Youth Village)","","","","","","","31.9602779","34.928056"
"בן שמן (מושב)","Ben Shemen","","","","","","","31.9544396","34.9222266"
"בני ברק","Bene Brak","Bnei Brak","","","","","","32.0873899","34.8324376"
"בני דרום","Bene Darom","Bnei Darom","","","","","","31.8201432","34.6929924"
"בני דרור","Bene Dror","Bnei Dror","","","","","","32.2618622","34.900238"
"בני יהודה","Bene Yehuda","Bnei Yehuda","","","","","","32.798752","35.6893192615086"
"בני עטרות","Bene Atarot","Bnei Atarot","","","","","","32.0224981","34.9100044"
"בני עיש","Bene Ayish","Bnei Ayish","","","","",""
"בני ציון ","Bene Tsiyyon","Bnei Tsiyyon","Bnei Zion","Bene Zion","","","","32.21853955","34.8679919202781"
"בני ראם","Bene Re'em","Bnei Re'em","","","","","","31.768836","34.791424909882"
"בניה","Benaya","Bnaya","","","","","","31.8441001","34.7490399139098"
"בנימינה","Binyamina","","","","","","","32.5209032","34.9431721"
"בסמה","Basma","","","","","","","31.2523924","34.9742475765533"
"בוסתן הגליל","Bustan Hagalil","","","","בסתן הגליל","","","32.9518835","35.0823317"
"בצרה","Batsra","Batzra","","","","","","30.502804","47.8342226"
"ביצרון","Bitsaron","Bizaron","","","","","","31.79780025","34.7256778073303"
"בצת","Betset","Bezet","","","","","","33.0708449","35.136107"
"בקוע","Beko'a","","","","","","","31.8302054","34.9271432"
"בקעות","Beka'ot","","","","","","","32.2428392","35.4536973"
"בר גיורה","Bar Giyyora","Bar Giora","","","בר גיורא","",""
"ברור חיל","Beror Hayil","","","","","",""
"ברוש","Berosh","","","","","","","31.3706464","34.6322938428196"
"בר-יוחאי","Bar Yoha'i","","","","","","","32.9975998","35.4479434"
"ברכה","Berakha","Beracha","","","","",""
"ברכיה","Berekhya","Berechia","","","","","","31.671288","34.6264959012075"
"ברעם","Bar'am","","","","","","","33.0576503","35.4344138723808"
"ברק","Barak","","","","","","","32.5421948","35.2652015983575"
"ברקאי","Barka'i","","","","","","","32.4746428","35.0307097"
"ברקן","Barkan","","","","","","","32.10873505","35.1080016052382"
"ברקת","Bareket","","","","","","","32.0161027","34.9459051132616"
"בת הדר","Bat Hadar","","","","","","","31.6462482","34.5958649921038"
"בת חן","Bat Hen","Bat Chen","","","","","","32.3590367","34.8740297"
"בת חפר","Bat Hefer","","","","","","","32.3330792","35.0129031642113"
"בת ים","Bat Yam","","","","","","","32.01444165","34.7495648659979"
"בת עין","Bat Ayin","","","","","","","31.6572642","35.1031872"
"בת שלמה","Bat Shelomo","Bat Shlomo","","","","","","32.5994386","35.0029516"
"גאולי תימן","Ge'ule Teman","Geulei Teiman","","","","","","32.3915638","34.9002521"
"גאולים","Ge'ulim","","","","","","","32.29948865","34.9507751621237"
"גאליה","Ge'alya","","","","","","","31.88511335","34.7641985535544"
"גבולות","Gevulot","Gvulot","","","","","","31.2101813","34.4663457002577"
"גבים","Gevim","","","","","","","31.5056649","34.6007551"
"גבע","Geva","","","","","",""
"גבע בנימין","Geva Binyamin","","","","","","","31.8502643","35.2741433"
"גבע כרמל","Geva Karmel","Geva Carmel","","","","","","32.6641481","34.9550099"
"גבעלים","Giv'olim","","","","","",""
"גבעון החדשה","Giv'on Hahadasha","Giv'on Hachadasha","","","גיבעון החדשה","","","31.8481668","35.1576746"
"גבעות","Geva'ot","","","","","","","31.67895905","35.1012444458024"
"גבעות בר","Giv'ot Bar","","","","","","","31.35601815","34.7597925742459"
"גבעת אבני","Giv'at Avni","","","","","","","32.7755706","35.4381406"
"גבעת אלה","Giv’at Ela","","","","","","","32.7208483","35.2448953"
"גבעת ברנר","Giv'at Brener","","","","","","","31.8674038","34.8005278"
"גבעת השלושה","Giv'at Hashelosha","","","","","","","32.0966671","34.9202779"
"גבעת זאב","Giv'at Ze'ev","","","","","","","31.8623329","35.1687498"
"גבעת חן","Giv'at Hen","","","","","",""
"גבעת חיים (איחוד)","Giv'at Hayyim (Me'uhad)","Giv'at Haim (Me'uhad)","","","","","","32.39946415","34.932681027705"
"גבעת חיים (מאוחד)","Giv'at Hayyim (Ihud)","Giv'at Haim (Ihud)","","","","","","32.3919177","34.9308443743706"
"גבעת יואב","Giv'at Yo'av","","","","","","","32.8002848","35.6838088"
"גבעת יערים","Giv’at Ye'arim","","","","","","","31.78684405","35.088766169538"
"גבעת ישעיה","Giv’at Yesha'yahu","","","","","",""
"גבעת כח","Giv'at Ko’ah","","","","","","","32.02933375","34.9351440593383"
"גבעת נילי","Giv'at Nili","","","","","",""
"גבעת עדה","Giv'at Ada","","","","","","","32.51811855","35.0046408841568"
"גבעת עוז","Giv'at Oz","","","","גבעת עז","","","32.5554736","35.1979593876542"
"גבעת שמואל","Giv'at Shemu'el","","","","","","","32.0764342","34.8500525"
"גבעת שמש","Giv'at Shemesh","","","","","",""
"גבעת שפירא","Giv'at Shapira","","","","","","","32.3581549","34.8763685155263"
"גבעתי","Giv'ati","","","","","","","31.7326965","34.6794081165314"
"גבעתיים","Giv'atayim","","","","","","","32.0729606","34.8113279"
"גברעם","Gevar'am","","","","","","","31.5924768","34.6126871658828"
"גבת","Gevat","Gvat","","","","","","32.6745368","35.2116299"
"גיבתון","Gibbton","Gibton","","","גבתון","","","31.88820495","34.7997564559735"
"גדות","Gadot","","","","","","","33.0180474","35.6185119277888"
"גדיש","Gadish","","","","","","","32.5595223","35.2449512654631"
"גדעונה","Gid'ona","","","","","","","32.5488458","35.3584607942992"
"גדרה","Gedera","","","","","","","31.81166535","34.7783229775113"
"גונן","Gonen","","","","","","","33.1227839","35.6438977"
"גזית","Gazit","","","","","","","32.6377038","35.4470078652524"
"גזר","Gezer","","","","","","","31.87610935","34.9202240843082"
"גיאה","Ge'a","","","","","","","31.6275573","34.6024158"
"גיזו","Gizo","","","","","","","31.8046929","34.9385289784158"
"גילון ","Gilon","","","","","","","32.9029028","35.2354622"
"גילת ","Gilat","","","","","","","31.3273943","34.6544994"
"גלאון","Gal'on","","","","","","","31.6333371","34.8500075"
"גלגל","Gilgal","","","","","",""
"גליל ים","Gelil Yam","Glil Yam","","","","","","32.15710335","34.8305011053217"
"גלעד (אבן יצחק)","Gal'ed (Even Yits'hak)","","","","","","","32.5577256","35.0771842"
"גמזו","Gimzo","","","","","",""
"גן הדרום","Gan Hadarom","","","","","","","31.804968","34.6998752250996"
"גן השומרון","Gan Hashomron","","","","","",""
"גן חיים","Gan Hayyim","Gan Haim","","","","","","32.19494845","34.9053701177111"
"גן יאשיה","Gan Yoshiyyahu","Gan Yoshiya","","","","","","32.3528262","34.9958201"
"גן יבנה","Gan Yavne","","","","","","","31.787109","34.7096635"
"גן-נר","Gan-Ner","","","","","","","32.53109995","35.3394435853057"
"גן שורק","Gan Sorek","","","","","","","31.944725","34.7619154083432"
"גן שלמה","Gan Shelomo","Gan Shlomo","","","","","","31.8776008","34.798122"
"גן שמואל","Gan Shemu'el","","","","","","","32.4499819","34.9500006"
"גינוסר","Ginnosar","Ginosar","","","","","","32.8473936","35.5250434"
"גנות","Gannot","Ganot","","","","","","32.018611","34.829167"
"גנות הדר","Gannot Hadar","Ganot Hadar","","","","","","32.3195061","34.9001402"
"גני הדר","Ganne Hadar","Ganei Hadar","","","","","","31.8783773","34.8543901471239"
"גני יהודה","Ganne Yehuda","Ganei Yehuda","","","","","","32.04081435","34.8752389157293"
"גני יוחנן","Ganne Yohanan","Ganei Yohanan","Ganei Yochanan","","","","","31.86029","34.8407361"
"גני תקווה","Ganne Tikva","Ganei Tikva","","","גני תקוה","","","32.0604256","34.8760954"
